listing_id,YearMonth,number,score
3362,2009-1,1,0.4215
3362,2009-10,5,0.95184
3362,2009-11,3,0.8044666666666668
3362,2009-3,1,0.9618
3362,2009-7,1,0.9287
3362,2009-8,2,0.9716
3362,2009-9,1,0.9831
3362,2010-10,6,0.9560833333333334
3362,2010-11,2,0.99575
3362,2010-3,1,0.5688
3362,2010-4,3,0.8879
3362,2010-5,2,0.89865
3362,2010-6,3,0.9500333333333334
3362,2010-7,4,0.9701249999999999
3362,2010-8,3,0.9384333333333333
3362,2010-9,4,0.9499250000000001
3362,2011-1,1,0.8199
3362,2011-10,3,0.9359666666666667
3362,2011-2,2,0.88845
3362,2011-3,2,0.9143
3362,2011-4,6,0.9089833333333335
3362,2011-5,3,0.9712333333333333
3362,2011-6,3,0.9060333333333334
3362,2011-7,2,0.9333499999999999
3362,2011-8,6,0.9607500000000001
3362,2011-9,5,0.75376
3362,2012-1,3,0.9331666666666667
3362,2012-10,1,0.955
3362,2012-2,4,0.8475499999999999
3362,2012-3,4,0.82525
3362,2012-4,3,0.8624333333333333
3362,2013-4,1,0.9226
3362,2013-9,2,0.8143499999999999
3362,2015-6,1,0.9413
3362,2016-11,1,0.4199
3362,2016-12,1,0.9394
3362,2016-9,1,0.5859
3362,2017-1,3,0.9669666666666666
3362,2017-10,3,0.9050333333333334
3362,2017-11,3,0.8702666666666667
3362,2017-12,1,0.7693
3362,2017-2,2,0.696
3362,2017-3,4,0.8397
3362,2017-4,3,0.9115666666666667
3362,2017-5,2,0.36505
3362,2017-6,1,0.9857
3362,2017-7,2,0.879
3362,2017-8,1,0.6249
3362,2017-9,3,0.8678333333333333
3362,2018-1,3,0.5485666666666666
3362,2018-10,2,0.7019
3362,2018-12,1,0.9862
3362,2018-2,3,0.7797666666666666
3362,2018-3,5,0.66744
3362,2018-4,4,0.807075
3362,2018-5,2,0.91615
3362,2018-6,1,0.9755
3362,2018-7,2,0.6851499999999999
3362,2018-8,2,0.92205
3362,2018-9,3,0.8992333333333332
3362,2019-1,2,0.86365
3362,2019-10,4,0.921175
3362,2019-2,2,0.75605
3362,2019-4,3,0.6816666666666666
3362,2019-5,1,0.0
3362,2019-6,4,0.75685
3362,2019-7,3,0.8219333333333334
3362,2019-8,3,0.9221
3362,2020-1,1,0.8481
3362,2020-2,1,0.2023
3663,2010-10,2,0.9801
3663,2010-11,1,0.9857
3663,2010-9,1,0.9441
3663,2011-3,3,0.8475333333333334
3663,2011-8,4,0.7289
3663,2011-9,4,0.93075
3663,2015-5,2,0.99315
3663,2015-6,2,0.9868
3663,2015-8,2,0.8063
3663,2016-12,1,0.9616
3663,2016-3,2,0.87345
3663,2016-4,4,0.962175
3663,2016-5,1,0.9035
3663,2016-6,4,0.975575
3663,2016-7,3,0.9348333333333333
3663,2016-8,1,0.9117
3663,2017-5,1,0.6892
3663,2017-8,1,0.9974
3663,2018-4,1,0.9875
3663,2018-5,1,0.0
3670,2015-10,4,0.8573
3670,2015-11,1,0.8892
3670,2015-3,2,0.98665
3670,2015-4,5,0.85074
3670,2015-5,5,0.67896
3670,2015-7,1,0.2724
3670,2015-8,1,-0.0832
3670,2015-9,4,0.93355
3670,2016-1,1,0.4927
3670,2016-10,2,0.58
3670,2016-2,2,0.8608
3670,2016-3,1,0.8268
3670,2016-4,4,0.9513750000000001
3670,2016-5,5,0.46636000000000005
3670,2016-6,6,-0.10951666666666669
3670,2016-7,2,0.47695
3670,2016-8,1,0.6588
3670,2016-9,2,0.4799
3670,2017-10,1,0.8402
3670,2017-11,2,0.96655
3670,2017-3,3,0.9247
3670,2017-4,2,0.4841
3670,2017-6,1,0.987
3670,2017-7,1,0.8856
3670,2017-8,1,0.9298
3670,2018-3,4,0.924725
3670,2018-4,5,0.91236
3670,2018-5,6,0.8981166666666667
3670,2018-6,3,0.8023333333333333
3670,2018-7,1,0.807
3686,2010-11,1,0.9811
3686,2010-12,1,0.9742
3686,2011-11,2,0.9337500000000001
3686,2011-2,1,0.993
3686,2011-3,2,0.88905
3686,2011-4,2,0.95875
3686,2011-5,4,0.9294
3686,2011-6,1,0.979
3686,2011-7,2,0.94285
3686,2011-8,3,0.8925333333333333
3686,2011-9,2,0.8098
3686,2012-1,2,0.9789
3686,2012-10,2,-0.12374999999999997
3686,2012-3,4,0.926075
3686,2012-4,3,0.8302999999999999
3686,2012-5,3,0.9694333333333334
3686,2012-6,3,0.9403666666666667
3686,2012-7,3,0.9324666666666667
3686,2012-8,2,0.5692
3686,2012-9,1,0.9403
3686,2013-10,2,0.8469
3686,2013-3,1,0.6114
3686,2013-4,2,0.9652000000000001
3686,2013-5,1,0.9929
3686,2013-8,2,0.8748
3686,2013-9,1,0.9232
3686,2014-10,1,0.9677
3686,2014-2,1,0.933
3686,2014-6,2,0.64375
3686,2014-9,1,0.9331
3686,2015-7,2,0.9235
3686,2016-5,1,0.9658
3686,2016-7,2,0.78415
3686,2016-9,1,0.5563
3686,2017-10,1,0.4678
3686,2017-6,1,0.7083
3686,2017-9,1,-0.9595
3686,2018-10,1,0.8519
3686,2019-3,1,0.9722
3686,2019-5,1,0.9914
3686,2019-8,1,0.988
3771,2009-1,1,0.7773
4002,2009-1,2,0.919
4002,2010-10,2,0.8316
4002,2010-11,3,0.9457666666666666
4002,2010-2,2,0.7202500000000001
4002,2010-3,2,0.98275
4002,2010-4,5,0.9280000000000002
4002,2010-5,4,0.940175
4002,2010-7,1,0.9745
4002,2010-8,4,0.818825
4002,2010-9,3,0.9591
4002,2011-1,1,0.9835
4002,2011-10,1,0.9979
4002,2011-11,2,0.94825
4002,2011-12,1,0.9381
4002,2011-3,1,0.9062
4002,2011-4,1,0.9917
4002,2011-5,5,0.7837999999999999
4002,2011-6,4,0.8504499999999999
4002,2011-7,3,0.9398
4002,2011-8,4,0.8799750000000001
4002,2011-9,2,0.8833
4002,2012-1,1,0.9099
4002,2012-3,2,0.9152
4002,2012-4,2,0.9681
4002,2012-5,5,0.50892
4002,2012-6,2,0.6786
4002,2012-7,2,0.93365
4002,2012-8,1,-0.3484
4002,2013-10,1,0.9136
4002,2013-11,1,0.8398
4002,2013-12,1,0.8547
4002,2013-5,1,0.9921
4002,2013-6,1,0.9524
4002,2013-7,1,0.9477
4002,2013-8,1,0.9914
4002,2013-9,2,0.92175
4002,2014-10,1,-0.7906
4002,2014-11,4,0.85995
4002,2014-12,1,0.0
4002,2014-4,3,0.9436666666666667
4002,2014-5,1,0.0
4002,2014-7,1,0.9852
4002,2015-1,1,0.8063
4002,2015-10,1,0.9642
4002,2015-2,2,0.0040000000000000036
4002,2015-3,2,0.9474499999999999
4002,2015-4,4,0.816025
4002,2015-5,4,0.803675
4002,2015-6,3,0.9577333333333332
4002,2015-7,8,0.7857125
4002,2015-8,5,0.32493999999999995
4002,2015-9,2,0.80185
4002,2016-10,3,0.4985666666666666
4002,2016-11,1,0.9792
4002,2016-3,3,0.9383333333333335
4002,2016-4,4,0.7073
4002,2016-5,1,0.9425
4002,2016-8,1,0.7992
4002,2016-9,2,0.8746
4002,2017-1,2,-0.0027499999999999747
4002,2017-4,1,0.8588
4002,2017-6,1,0.0
4002,2017-7,1,0.7906
4002,2018-11,1,0.0
4002,2018-2,1,0.0
4002,2018-3,2,0.8806499999999999
4002,2018-4,2,0.7036
4002,2018-5,2,0.9088
4002,2018-8,1,0.8836
4197,2009-5,2,0.91075
4197,2009-7,1,0.9451
4197,2016-4,2,0.9434
4197,2016-5,3,0.9499333333333334
4197,2017-3,1,0.9559
4197,2017-4,4,0.93455
4197,2017-5,2,0.9897
4197,2017-6,3,0.9766333333333334
4197,2017-7,3,0.6300666666666667
4197,2017-8,1,0.8934
4197,2018-4,1,0.9812
4197,2018-5,5,0.95138
4197,2018-6,4,0.7388
4197,2018-7,2,0.97495
4197,2018-8,1,0.9898
4197,2018-9,2,0.91325
4197,2019-12,1,0.9883
4197,2019-4,1,0.9849
4197,2019-5,2,0.4006
4197,2019-6,1,0.9245
4197,2019-8,1,0.91
4197,2020-1,1,0.6249
4501,2009-1,2,0.8674
4501,2009-10,3,0.9737
4501,2009-11,1,0.9701
4501,2009-12,1,0.9595
4501,2009-3,1,0.9421
4501,2009-4,1,0.9661
4501,2009-5,1,0.9826
4501,2009-6,4,0.9232499999999999
4501,2009-7,4,0.9195000000000001
4501,2009-8,2,0.96375
4501,2009-9,1,0.7906
4501,2010-1,1,0.981
4501,2010-10,5,0.91426
4501,2010-11,2,0.97175
4501,2010-12,1,0.9152
4501,2010-3,1,0.9595
4501,2010-4,5,0.595
4501,2010-5,3,0.9278666666666666
4501,2010-6,2,0.9302
4501,2010-7,2,0.97845
4501,2010-8,2,0.72605
4501,2010-9,1,0.9858
4501,2011-1,2,0.91405
4501,2011-10,1,0.9753
4501,2011-11,2,0.92215
4501,2011-2,2,0.9632499999999999
4501,2011-3,2,0.94705
4501,2011-4,5,0.8546199999999999
4501,2011-5,4,0.8533499999999999
4501,2011-6,5,0.8676999999999999
4501,2011-7,2,0.8423
4501,2011-8,1,0.9664
4501,2011-9,6,0.8708666666666668
4501,2012-1,2,0.93865
4501,2013-10,3,0.9114333333333334
4501,2013-12,2,0.4623
4501,2013-3,1,0.9793
4501,2013-4,3,0.9697
4501,2013-9,2,0.9873000000000001
4501,2014-10,5,0.89984
4501,2014-11,1,0.8319
4501,2014-3,4,0.930375
4501,2014-5,2,0.81735
4501,2014-7,1,0.8707
4501,2014-8,4,0.71835
4501,2014-9,3,0.9669333333333334
4501,2015-1,1,0.9286
4501,2015-3,1,0.8998
4501,2015-4,1,0.9652
4501,2015-5,2,0.96385
4501,2015-6,3,0.9572333333333333
4501,2015-7,1,0.9623
4529,2009-10,2,0.96115
4529,2009-8,1,0.9476
4529,2010-10,1,0.9814
4529,2010-11,2,0.9633
4529,2010-3,2,0.96165
4529,2010-4,2,0.97675
4529,2010-5,2,0.9776
4529,2010-6,1,0.8655
4529,2010-7,1,0.9944
4529,2010-8,1,0.9959
4529,2010-9,3,0.6976
4529,2011-1,2,0.77635
